"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Noah Brown","WR","WAS","0","20","34","48","0","38","42","60","31","57","51","51","38","bye","0","0","0","0","470","42.7"
"Kenneth Walker III","RB","SEA","44","0","0","53","39","54","28","28","61","bye","44","41","39","0","0","38","0","0","469","42.6"
"Joe Flacco","QB","IND","0","0","0","53","70","70","0","1","54","64","0","0","0","bye","0","0","77","78","467","58.4"
"Jonathan Mingo","WR","Multi","33","30","49","56","41","30","11","33","15","0","24","15","26","14","13","15","30","27","462","27.2"
"Michael Mayer","TE","LV","34","39","31","0","0","0","0","0","0","bye","34","34","43","54","47","45","58","41","460","41.8"
"Charlie Woerner","TE","ATL","23","16","19","17","13","25","11","35","26","38","0","bye","47","35","40","34","34","44","457","28.6"
"Jordan Akins","TE","CLE","43","35","45","28","20","5","18","15","25","bye","16","24","20","13","33","31","44","41","456","26.8"
"Kendrick Bourne","WR","NE","0","0","0","0","16","34","37","52","54","0","36","41","46","bye","27","51","38","24","456","38.0"
"Ricky Pearsall","WR","SF","0","0","0","0","0","0","48","40","bye","41","37","33","35","30","30","46","45","70","455","41.4"
"Tip Reiman","TE","ARI","20","38","20","25","26","12","30","29","29","35","bye","20","34","23","30","26","24","29","450","26.5"
"Jaylen Warren","RB","PIT","21","32","23","0","0","25","35","26","bye","35","26","39","25","34","23","40","40","23","447","29.8"
"Devaughn Vele","WR","DEN","34","0","0","0","0","34","28","25","29","38","42","44","31","bye","38","36","30","38","447","34.4"
"Dallas Goedert","TE","PHI","62","69","62","36","bye","3","0","0","0","43","63","55","40","0","0","0","0","13","446","44.6"
"Alexander Mattison","RB","LV","36","14","28","21","40","43","55","38","24","bye","20","0","0","0","22","42","24","37","444","31.7"
"Drew Ogletree","TE","IND","12","14","20","24","26","21","25","18","32","22","25","30","32","bye","30","35","41","32","439","25.8"
"Ja'Lynn Polk","WR","NE","35","41","26","53","60","43","34","0","9","26","31","23","20","bye","20","3","12","0","436","29.1"
"Patrick Ricard","RB","BAL","19","18","32","35","25","35","21","11","36","20","22","35","19","bye","21","17","37","32","435","25.6"
"Johnny Mundt","TE","MIN","29","38","51","41","39","bye","40","31","19","18","19","33","22","10","20","10","8","6","434","25.5"
"Greg Dortch","WR","ARI","37","23","39","43","24","36","17","25","22","15","bye","12","19","27","18","21","25","29","432","25.4"
"Cedric Tillman","WR","CLE","26","26","22","9","20","21","69","62","76","bye","70","31","0","0","0","0","0","0","432","39.3"
"Stefon Diggs","WR","HOU","61","50","57","62","59","52","52","38","0","0","0","0","0","bye","0","0","0","0","431","53.9"
"Kylen Granson","TE","IND","25","33","27","20","18","17","14","20","24","24","32","35","32","bye","27","19","31","32","430","25.3"
"Jalen Coker","WR","CAR","0","0","0","7","32","43","22","42","24","53","bye","0","0","0","48","56","41","62","430","39.1"
"Payne Durham","TE","TB","17","16","12","15","12","24","0","11","16","17","bye","24","31","25","30","67","59","54","430","26.9"
"Adam Thielen","WR","CAR","41","45","23","0","0","0","0","0","0","0","bye","38","51","53","47","40","40","51","429","42.9"
"Aidan O'Connell","QB","LV","0","0","13","0","26","63","14","0","0","bye","0","0","68","44","0","74","77","48","427","47.4"
"Tutu Atwell","WR","LAR","6","10","43","55","63","bye","43","9","26","13","7","17","22","35","20","11","9","36","425","25.0"
"JuJu Smith-Schuster","WR","KC","12","13","41","32","56","bye","7","0","0","0","20","41","40","34","38","27","31","32","424","30.3"
"T.J. Hockenson","TE","MIN","0","0","0","0","0","bye","0","0","33","39","35","48","34","37","50","46","50","51","423","42.3"
"Nelson Agholor","WR","BAL","30","36","38","29","37","32","28","30","19","31","24","29","40","bye","17","0","0","0","420","30.0"
"Nate Adkins","TE","DEN","14","12","25","28","32","15","19","35","27","21","30","20","26","bye","29","21","22","44","420","24.7"
"Luke McCaffrey","WR","WAS","36","40","20","32","44","22","26","25","23","26","20","18","24","bye","12","9","22","20","419","24.6"
"Deshaun Watson","QB","CLE","76","69","65","59","57","56","33","0","0","bye","0","0","0","0","0","0","0","0","415","59.3"
"Justice Hill","RB","BAL","43","35","26","20","41","26","27","34","19","22","30","26","36","bye","22","7","0","0","414","27.6"
