"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Theo Johnson","TE","NYG","4","0","3","1","5","3","0","4","6","6","bye","6","5","-","-","-","-","-","43","3.6"
"Foster Moreau","TE","NO","4","0","2","0","2","2","2","1","2","2","4","bye","4","2","4","3","5","4","43","2.5"
"Ja'Tavion Sanders","TE","CAR","1","2","1","2","5","7","6","1","5","2","bye","3","-","1","1","0","1","5","43","2.7"
"Jerome Ford","RB","CLE","7","2","4","7","3","0","-","-","3","bye","4","1","1","4","2","5","0","-","43","3.1"
"Jalen Nailor","WR","MIN","1","4","4","2","0","bye","5","4","1","3","2","2","2","0","1","2","5","4","42","2.5"
"Gabe Davis","WR","JAC","3","7","6","5","4","8","2","0","-","4","3","bye","-","-","-","-","-","-","42","4.2"
"Jonathan Mingo","WR","DAL","5","2","4","5","5","1","bye","3","1","-","4","2","4","1","0","0","3","2","42","2.6"
"Rhamondre Stevenson","RB","NE","3","5","0","5","4","-","3","3","5","1","4","2","3","bye","1","1","1","-","41","2.7"
"Rashid Shaheed","WR","NO","5","4","5","11","9","7","-","-","-","-","-","bye","-","-","-","-","-","-","41","6.8"
"Austin Ekeler","RB","WAS","4","3","2","-","2","5","2","3","4","2","9","3","-","bye","-","-","-","2","41","3.4"
"Tyler Johnson","WR","LAR","7","3","4","1","-","bye","7","1","5","4","-","1","1","-","-","-","-","7","41","3.7"
"Van Jefferson","WR","PIT","2","3","-","3","5","-","3","5","bye","2","1","2","3","1","2","3","1","4","40","2.7"
"Kyren Williams","RB","LAR","3","5","2","4","1","bye","0","7","3","6","0","0","1","2","2","1","3","-","40","2.5"
"Dyami Brown","WR","WAS","-","4","2","1","2","1","3","1","1","3","2","2","5","bye","4","5","-","4","40","2.7"
"AJ Barner","TE","SEA","0","0","3","2","1","1","1","2","7","bye","4","4","2","1","3","2","0","5","38","2.2"
"James Cook","RB","BUF","3","1","5","1","3","-","0","3","6","3","6","bye","1","2","1","3","0","0","38","2.4"
"J.K. Dobbins","RB","LAC","3","1","3","4","bye","2","3","7","2","3","1","5","-","-","-","-","1","3","38","2.9"
"David Montgomery","RB","DET","1","4","3","1","bye","1","4","1","3","2","3","3","3","5","4","-","-","-","38","2.7"
"Kendrick Bourne","WR","NE","-","-","-","-","1","2","2","3","6","-","5","5","3","bye","3","2","4","2","38","3.2"
"Josh Whyle","TE","TEN","0","2","5","1","bye","1","4","2","2","1","1","0","3","2","5","0","1","7","37","2.2"
"John Metchie III","WR","HOU","-","-","-","1","0","0","0","4","2","6","3","3","2","bye","4","-","8","4","37","2.8"
"Luke Schoonmaker","TE","DAL","0","6","2","0","2","0","bye","0","0","1","10","4","6","2","0","1","0","2","36","2.1"
"Malik Washington","WR","MIA","-","-","-","1","0","bye","3","0","0","2","3","2","4","1","6","4","5","5","36","2.6"
"Samaje Perine","RB","KC","2","1","4","0","2","bye","1","2","5","2","4","2","1","2","1","3","2","1","35","2.1"
