"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Taylor Rapp","S","BUF","61","70","57","16","0","63","70","51","61","59","55","bye","48","77","0","0","63","27","778","55.6"
"Cobie Durant","CB","LAR","59","48","70","60","56","bye","44","49","79","53","41","43","70","50","0","0","0","55","777","55.5"
"Chris Jones","DT","KC","57","51","49","44","44","bye","55","48","49","51","62","53","60","46","58","44","0","0","771","51.4"
"Maxx Crosby","DE","LV","57","65","61","0","52","63","55","72","74","bye","68","68","71","62","0","0","0","0","768","64.0"
"Tyson Campbell","CB","JAC","53","0","0","0","0","0","46","69","79","79","71","bye","35","63","58","67","69","78","767","63.9"
"Danielle Hunter","DE","HOU","36","58","51","44","49","38","45","53","42","53","58","49","50","bye","46","53","32","9","766","45.1"
"Tony Adams","S","NYJ","72","66","48","59","73","69","31","0","0","48","0","bye","38","37","58","29","68","70","766","54.7"
"Darious Williams","CB","LAR","0","0","0","0","29","bye","79","50","78","53","76","73","70","58","54","69","77","0","766","63.8"
"Darnell Savage Jr.","S","JAC","49","0","0","0","49","35","60","68","78","84","78","bye","58","58","57","12","0","78","764","58.8"
"Mack Wilson Sr.","LB","ARI","39","23","59","61","54","67","59","54","51","46","bye","55","50","54","4","0","41","46","763","47.7"
"A'Shawn Robinson","DT","CAR","51","41","37","54","71","45","0","53","50","53","bye","47","59","45","46","51","38","21","762","47.6"
"Kristian Fulton","CB","LAC","60","43","68","62","bye","23","10","38","0","0","64","64","76","60","67","63","40","22","760","50.7"
"Elijah Molden","CB","LAC","20","48","32","61","bye","38","14","63","71","48","73","54","81","69","57","0","31","0","760","50.7"
"Kyle Dugger","S","NE","51","70","73","18","0","66","61","0","0","0","52","66","62","bye","70","59","76","35","759","58.4"
"Denzel Ward","CB","CLE","52","11","65","55","33","35","48","28","51","bye","41","66","52","65","72","54","31","0","759","47.4"
"Will McDonald IV","DE","NYJ","35","35","30","33","50","50","45","41","48","32","52","bye","39","60","61","35","51","61","758","44.6"
"Malik Mustapha","S","SF","0","31","5","64","47","20","70","62","bye","61","60","72","58","45","0","67","69","25","756","50.4"
"Leonard Williams","DT","SEA","45","52","5","0","49","59","45","50","58","bye","49","40","51","50","46","49","49","53","750","46.9"
"Terrel Bernard","LB","BUF","61","14","0","0","68","63","54","0","61","59","55","bye","48","77","79","73","37","0","749","57.6"
"Zach Sieler","DT","MIA","46","35","44","51","49","bye","52","0","0","57","49","46","46","56","45","54","62","56","748","49.9"
"Quay Walker","LB","GB","76","56","54","68","78","58","13","0","57","bye","72","43","71","79","22","0","0","0","747","57.5"
"Logan Wilson","LB","CIN","65","65","59","70","78","79","84","61","54","63","67","bye","0","0","0","0","0","0","745","67.7"
"Dayo Odeyingbo","DE","IND","29","32","62","52","49","37","47","48","55","51","40","47","48","bye","39","33","33","43","745","43.8"
"Grady Jarrett","DT","ATL","46","48","48","53","39","45","37","49","33","38","40","bye","36","47","48","29","60","48","744","43.8"
"Chase Young","DE","NO","37","50","54","42","57","57","37","43","37","42","45","bye","28","51","42","32","47","41","742","43.6"
"Daron Payne","DT","WAS","40","41","45","36","37","43","20","49","44","55","48","41","37","bye","47","56","48","55","742","43.6"
"Mike Hilton","CB","CIN","44","39","44","48","0","51","68","31","36","42","51","bye","53","34","50","51","52","45","739","46.2"
"DeMarcus Walker","DT","CHI","53","52","51","49","44","46","bye","56","35","38","34","49","51","40","46","40","22","33","739","43.5"
"Bobby Okereke","LB","NYG","55","72","67","56","58","53","57","66","61","57","bye","60","74","0","0","0","0","0","736","61.3"
"Greg Rousseau","DE","BUF","48","52","41","41","52","47","56","38","45","41","44","bye","38","58","56","52","26","0","735","45.9"
"Arden Key","DE","TEN","42","46","43","41","bye","53","33","27","60","40","58","47","53","51","53","46","42","0","735","45.9"
"Emmanuel Ogbah","DE","MIA","40","28","41","54","45","bye","0","43","49","50","41","42","46","47","41","49","62","55","733","45.8"
"Pete Werner","LB","NO","41","51","71","56","0","0","0","65","52","52","48","bye","49","49","66","63","69","0","732","56.3"
"Jordan Whitehead","S","TB","59","85","68","57","60","69","44","60","80","63","bye","40","0","0","0","0","47","0","732","61.0"
"Tuli Tuipulotu","DE","LAC","27","31","48","50","bye","42","44","48","59","45","69","50","32","38","47","31","33","38","732","43.1"
"Sean Murphy-Bunting","CB","ARI","62","44","68","67","63","50","14","0","0","39","bye","56","39","59","47","62","28","30","728","48.5"
"Ar'Darius Washington","S","BAL","5","7","34","18","22","14","45","44","43","59","78","69","56","bye","68","60","50","55","727","42.8"
"Kyler Gordon","CB","CHI","61","51","45","55","45","24","bye","0","0","52","35","49","50","47","69","45","47","50","725","48.3"
"Quinnen Williams","DT","NYJ","48","49","27","50","53","47","54","48","54","37","51","bye","46","57","58","0","30","15","724","45.3"
"Dee Alford","CB","ATL","31","53","48","38","8","61","54","69","70","15","0","bye","29","40","48","38","72","49","723","45.2"
"Daniel Ekuale","DT","NE","37","54","53","46","53","47","54","0","52","41","33","44","38","bye","42","38","54","36","722","45.1"
"Mike Hughes","CB","ATL","57","48","52","57","43","44","50","57","77","13","0","bye","0","17","67","54","81","3","720","48.0"
"Maliek Collins","DT","SF","37","36","42","48","38","59","44","47","bye","44","46","47","30","30","45","41","48","35","717","42.2"
